"Наименование","ЕИК","Вид на агенцията","Към участник","Описание"
"ПРО НЮЗ ДОБРИЧ ЕООД","204800657","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Про секюрити груп ООД","201073398","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ЧЕРНОМОРСКИ ФАР ЕАД","147111873","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ВЕСТНИК"
"Русе Медиа ЕООД","206708168","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Джи Ем Медиа ЕООД","201378147","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"РЕК-АРТ ЕООД","119524726","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Янтра прес АД В.Търново вестник Янра днес","104092980","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ВЕСТНИК"
"ГЛОБАЛ КОНСУЛТ ТМ ЕООД","119601432","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ЗВЪНАР ЕООД","207227141","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"МЕДИЯ НЮЗ ЕООД","207131132","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Сливен нюз ЕООД","119674868","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"СЛИВЕНПОСТ ЕООД","206463765","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Сливен нет ОДД","119547949","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Сити трейд 18 ЕООД","205210264","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Джей Пойнт Плюс ООД","175391891","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ДОБРУДЖА СПЕКТЪР ООД","124134441","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-РАДИО"
"КРИВИЦКИ ТРЕЙД ООД","200107591","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ХЕРМЕС МЕДИЯ АДВЪРТАЙЗМЪНТ ЕООД","205950535","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Смарт Арена ЕООд","205412166","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"НАЦИОНАЛНА БИЗНЕС ПОЩА ЕООД","123155726","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Смарт Стор ЕООД","203010919","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Наблюдател ЕООД","123508507","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ЗАГОРА.БГ ЕООД","205920976","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"СЗГ ЕООД","205246171","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ДЕТ-2007 ООД","123762364","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Информационна Агенция Добруджа ЕООД","202416896","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ВЕСТНИК"
"АЛФАМАРКЕТ ПРИМ ЕООД","202587210","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"СМАРТ ХОУМ СИС ООД - НОВА ВАРНА","202977153","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"НИКО ГРУП ООД","123060609","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"202346519","202346519","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ДИВИДЕНТ МЕДИА ЕООД","206316466","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ЗАРАТА ЕООД","203663771","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ДИ ЕНД ДЖИ ЕООД","123746558","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"СТАРОЗАГОРСКИ НОВИНИ ЕООД","123048158","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Рекламна Агенция Дарик /РАД/","131185270","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ПОДБАЛКАН МЕДИЯ","204983710","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"РИМЕКС ООД","106514493","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"СУЗИСЛАВ ЕООД","202276960","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ОБЩИНА КОЗЛОДУЙ","000193250","Социологическа","КП ГЕРБ-СДС - Коалиция",""
"ОБЩИНА ВРАЦА","000193115","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"БЪЛГАРСКО НАЦИОНАЛНО РАДИО","000672343","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Голдън Индъстри ЕООД","207399155","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ПРО НЮЗ ДОБРИЧ ЕООД","204800657","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"СЪНПАУЪР БЪЛГАРИЯ ООД","119672002","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Симо Ко ЕООД","119592823","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Краси М ООД","119591867","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ДЕНТАЛЕН ЦЕНТЪР 1 СЛИВЕН ЕООД","000588112","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Булкарпет ЕООД","200415411","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ЛАГУНА ООД","119078409","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ПЕТРОНИЙ 66 ЕООД","201446580","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"СТАРОЗАГОРСКИ НОВИНИ ЕООД","123048158","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ВЕСТНИК"
"Еском Медиа Груп ООД","202355379","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"""ХАСКОВО ИНФО"" ЕООД","203200823","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Фактор БГ ЕООД","205716799","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"""НЮЗ ХАСКОВО"" ЕООД","201822748","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"АСТРОН-ЦВЕТКОВ И СИЕ СД","836036807","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ТВ САТ КОМ ЕООД","115545438","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-ТВ"
"НЮЗ МЕДИА ГРУП ЕООД","202230258","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"""АГЕНЦИЯ ДА "" ЕООД","206332036","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"''ХАСКОВО НОВИНИ"" ООД","206668777","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"АРТИПО ЕООД","202376380","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ТЕХНОЛОГИЧЕН ПАРК ЕООД","201070594","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ДИАНА ЕООД","116550018","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Силвър бет ЕООД","200382670","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Витриол Медия ЕООД","160055664","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"АДВЪРТАЙЗ КОНСУЛТ 77 ЕООД","205857643","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"АВС-КО ООД","130921495","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Е-79 ЕООД","109030323","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"МАГНАТ ДНЕС ПЛЮС ЕООД","203582771","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"С-ФакторБГ ЕООД","202104455","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"НИКАдвъртайзинг ЕООД","204369655","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ОБЩИНА ТЕТЕВЕН","000291698","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"МИЛЕНИУМ АДВЪРТАЙЗИНГ ЕЙДЖЪНСИ ЕООД","205936635","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ИНФОМРЕЖА ЕООД","201595600","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"КАБЕЛ САТ - ЗАПАД ООД","101140198","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"АКТИВ МЕДИА ЕООД","203763729","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"БНР РРС Бургас","0006723430082","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"МЕТРОПОЛИС ГРУП АД","175257604","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ГОЛФ БЪЛГАРИЯ ЕООД","200845352","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"АЛИЗАР ЕООД","101505519","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"АЛЕКС НЮЗ ЕООД","204311612","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ХЕРМЕС МЕДИЯ АДВЪРТАЙЗМЪНТ ЕООД","205950535","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Атум Реклами ООД","115676520","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"БЪЛГАРСКА НАЦИОНАЛНА ТЕЛЕВИЗИЯ","000672350","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ТРАФИК БУЛ ООД","203157560","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"АГЕНЦИЯ МАДАРА ЕООД","204384148","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","ПУБЛИКАЦИЯ"
"""""пр агенция сд """" еоод","206149946","За осъществяване на връзки с обществеността","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
